user_id,event_type,event_id,ts
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-a218e351b8118bb6c44dd3022434b2b8,2023-12-22 14:08:25.658000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-39dcb2b4b0d0c90d0311db846a41ef9c,2023-12-22 14:08:25.758000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-66f42347dc3de631c8c995e1e6f4b559,2023-12-22 14:08:22.663000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-d48a832bf5fee965041d6a720176d7d2,2023-12-22 14:08:22.659000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-a0dfaf0a766e9cc07c45516cd7c14ee8,2023-12-22 13:17:19.872000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-d5159a7678040998a565aff47d883be0,2023-12-22 13:17:14.173000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-7ee35bd645710074bb611b64046f1341,2023-12-22 13:17:11.709000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-cb9463f3845a2765b2dd68ba28dbfbbc,2023-12-22 13:17:07.798000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-065cf5323618551eae01d779f672cb88,2023-12-22 13:17:01.915000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-b80838eca4126cb7dbae14370a9d98d5,2023-12-22 13:16:59.847000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-6756f7fa5204c05dc820ddedd37f584f,2023-12-22 13:16:51.144000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-842f829b7fa79dfeddbaef51934ece77,2023-12-22 13:16:44.390000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-3ca49a1bdb2c7df850f7a151e105f64c,2023-12-22 13:16:44.235000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-1dcee909a2ed3da035ddea15fb9b03eb,2023-12-22 13:09:45.953000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-1093a4f48c8fcbdaa278f3a70f1b51f4,2023-12-22 13:09:42.779000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-143657a48fa60aba5473ea635ed7655f,2023-12-22 13:09:42.293000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-f68852ebe446de1fa8a9dc5fa4a57336,2023-12-22 13:08:52.964000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-6b6feb9505aaef5389f5ebf22c201a76,2023-12-22 02:18:38.537000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-2878ecd9033da3e6a103df8a9ff124cb,2023-12-22 02:14:09.324000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-7227e5bf87d99de2061e41458284a474,2023-12-22 15:12:20.899000
