timestamp,id,funnel_id,total_price,without_discount_price,variant_item_1,variant_item_2,variant_item_3,variant_item_4,variant_item_5
2024-04-01 15:56:22.054000,ajs-next-e4b6631094d254768d88850def35eae0,71,45,null,TRU-SPB-10022-S-BLK,,,,
2024-04-11 01:39:25.585000,ajs-next-aa4353499eba50721b8a2438e06cb623,71,67.5,null,TRU-SPB-10022-XL-BGE,,,,
2024-03-26 17:42:31.205000,ajs-next-eff924e5668483ae8ad41ce25b60a9d9,68,26.48,null,SHE-HWS-55021-S-BGE,,,,
2024-03-28 17:53:46.210000,ajs-next-1519faad553c6c43b2082c2f209aeac6,573,34.99,null,TRU-LAB3-10210-L-BLK,,,,
2024-03-28 17:53:46.210000,ajs-next-1519faad553c6c43b2082c2f209aeac6,573,34.99,null,TRU-LAB3-10210-L-BLK,,,,
2024-02-18 00:12:56.421000,ajs-next-8d74d591dbbd3dc353708080e87c35e3,256,92.97,null,TRU-MSB-51422-014-BLK,TRU-MSB-51422-014-BLK,TRU-MSB-51422-014-BLK,SMNT-SKL-22408-S-L-BLK,SHE-HWL-42075-L-BLK
2024-03-07 18:10:14.033000,ajs-next-bcd61acf287952b03d1ee57f7652f393,66,58.98,null,SMNT-WB-22428-LTGRAY,TRU-CSB-10400-3XL-BGE,SHE-SNB-95001-3XL-RED,,
2024-02-19 08:57:14.107000,ajs-next-1358b4e81e1c0cb6905228571d84de46,-1,55.97,null,EMP-HWL-42002-L-BLK,SHE-CSL-41402-XL-BLK,,,
2024-03-07 11:49:16.859000,ajs-next-8ad290c70de2934b51d8dd0f2f2d8985,71,54.99,null,TRU-SPB-10022-S-RST,,,,
2024-03-11 15:13:24.129000,ajs-next-55d48ca50041c9383e86a927e2e965d8,493,55.8,null,TRU-SPB-10022-S-BLK,,,,
2024-03-27 13:31:36.254000,ajs-next-f9800a1a7be96acef15ea2b154966bd0,60,41.98,null,SHE-HWS-55021-XLXXL-BLK,,,,
2024-03-19 15:43:55.590000,ajs-next-1bf2849b24f9980f79e56d969587774e,71,28.99,null,TRU-SPB-10022-S-BLK,,,,
2024-04-11 15:10:02.785000,ajs-next-753f7223e6d40134a04f2c12cd1b981b,303,89.97,null,SHE-SP-54008-XLXXL-BLK,SHE-TKC-62008-XL-BGE,TRU-LAB-10210-2XL-RST,TRU-LAB3-10210-2XL-BGE,
2024-04-11 15:46:41.349000,ajs-next-66c95f1737f6f863b5e7e95143846431,68,51.98,null,SHE-HWS-55021-XLXXL-BLK,SHE-HWS-55021-XLXXL-LAT,,,
2024-04-11 15:33:50.909000,ajs-next-4a0217ba6bca9c29ae5fc38f060b7b3e,66,29.42,null,SHE-SP-54008-XLXXL-BLK,EMP-HWS-55020-XLXXL-BLK,,,
2024-04-11 16:22:45.868000,ajs-next-82d8b6d9105ce58493da425a56fd3419,69,18.99,null,EMP-HWT-98099-L-NUD,,,,
2024-04-08 06:50:14.079000,ajs-next-4950ae35d4f583d9ec6c866b653adc0c,66,39.98,null,SMNT-WB-22428-LTGRAY,EMP-HWBS-18437-XL-BLK,EMP-HWBS-18437-XL-NUD,,
2024-04-01 18:45:14.493000,ajs-next-2cd3c3784b21ded58c7d538427f0fbf1,71,45,null,TRU-SPB-10022-S-BLK,,,,
2024-02-13 13:15:27.014000,ajs-next-e6fac8fbc613141937dbc55b2df9c9b4,71,45,null,TRU-SPB-10022-S-BLK,,,,
2024-02-02 22:58:42.468000,ajs-next-3bf89e95f687df6c39f0ee58bdb303a5,63,33.12,null,SHE-SNC-62001-S-BLK,,,,
2024-04-11 12:07:06.912000,ajs-next-2944607499d246fac4e3cbe936b2b2dc,70,30.99,null,EMP-HWL-42075-2XL-BLK,,,,
2024-03-06 17:38:11.476000,ajs-next-bcd4e1f12ee53f89dac7f956e5558815,71,54.99,null,TRU-SPB-10022-S-RST,,,,
2024-02-20 21:52:47.698000,ajs-next-8073b7c933e97b270a2ec95b8ab7490f,303,32.99,null,TRU-LAB3-10210-XL-BLK,,,,
2024-03-13 14:50:23.340000,ajs-next-bc5ce22e4dd55625b6890526aa22bcee,493,55.8,null,TRU-SPB-10022-S-BLK,,,,
2024-04-03 13:56:03.096000,ajs-next-35688b929e138f0d39aa36fa3cbb6a65,66,75.09,null,TRU-SPB-10022-S-BLK,TRU-CSB-10400-S-BLK,,,
2024-04-11 00:07:40.347000,ajs-next-a7218023edf1dc4b1b29dd5853e1a171,66,165.95000000000002,null,SHE-SSST-48001-L-BLK,EMP-SSB-81068-L-BLK,EMP-SLS-81005-L-BLK,SHE-SSST-48001-L-BLK,SHE-SSST-48001-L-WHT
2024-02-11 15:33:25.222000,ajs-next-cdbe0a02faf711a4bb14ce08403992b0,121,85.97,null,SP-SL-ML-BLK,TRU-LAB-10210-M-BLK,TRU-LAB-10210-M-BGE,SHE-OBC-73001-M-BLK,
2024-03-10 16:05:38.350000,ajs-next-a7f53928698168bea1e82310ec1732a4,80,16.99,null,TRU-MGS-38422-014-BLK,,,,
2024-04-11 17:01:14.712000,ajs-next-f6e6f8cded7fcfb5e59cf29246c7bfe8,66,60.980000000000004,null,SHE-SSSB-95006-M-BLK,SHE-SSST-48001-M-CHAI,,,
2024-04-11 06:19:25.053000,ajs-next-078aadabb124ef08e25e1f9e40464286,256,139.01,null,SHE-BHEB-13402-3XL-BLK,SHE-SNU-95002-XL-BLK,SHE-FHT-81009-2XL-BLK,,
2024-01-27 15:55:00.055000,ajs-next-1e00742e0c5a1c06de2c8328ffa16e1e,121,32.99,null,SP-SL-XLXXL-NUD,TRU-LAB3-10210-XL-BLK,,,
2024-02-27 17:37:18.690000,ajs-next-9065153fa2d09fddfde8c99b9d59f181,71,54.99,null,TRU-SPB-10022-S-RST,,,,
