,n_estimators,criterion,max_depth,min_samples_split,max_features,bootstrap,max_samples,random_state,n_jobs,rmspe_train,rmspe_val,algoritmo,tiempo_min
0,78,poisson,7,88,0.45161574416353867,True,0.24645325946835525,42,-1,0.34851138720487895,0.3701778373116892,RandomForestRegressor,0.0
0,57,poisson,14,72,0.3979378484767195,True,0.7472563444314984,42,-1,0.3493932787537009,0.3710269796523854,RandomForestRegressor,0.0
0,65,squared_error,11,81,0.7043253953328998,True,0.6785463621229209,42,-1,0.3526248547936736,0.3745308501577136,RandomForestRegressor,0.0
0,79,friedman_mse,8,70,0.5447787335571136,True,0.583943721033375,42,-1,0.35410729934641083,0.37608910904975973,RandomForestRegressor,0.0
0,59,friedman_mse,6,61,0.2969969483433431,True,0.5855902899373344,42,-1,0.3522043409323292,0.37408786836451774,RandomForestRegressor,0.0
0,80,friedman_mse,8,65,0.6769719843989261,True,0.636407037104553,42,-1,0.350269020471716,0.37180945192055403,RandomForestRegressor,0.0
0,67,squared_error,5,93,0.6407629741231102,True,0.5558724363880079,42,-1,0.3520329175926894,0.3739071604121771,RandomForestRegressor,0.0
0,61,friedman_mse,15,73,0.7434813003443395,True,0.2572181317002909,42,-1,0.3483708343845947,0.3700282771898304,RandomForestRegressor,0.0
0,67,poisson,9,90,0.2107061989142121,True,0.6748107378341038,42,-1,0.3525846876860168,0.37448855568710804,RandomForestRegressor,0.0
0,74,poisson,7,90,0.5185335672197899,True,0.4494998445399696,42,-1,0.3532208870790241,0.3751579909422395,RandomForestRegressor,0.0
0,56,poisson,11,91,0.624742696612242,True,0.4783540485203951,42,-1,0.35267884102039176,0.37458768944777443,RandomForestRegressor,0.0
0,59,friedman_mse,9,75,0.2593402110276373,True,0.6089106879221422,42,-1,0.3513231644022832,0.3731581779094927,RandomForestRegressor,0.0
0,52,squared_error,8,91,0.6707768597368444,True,0.7266183124720076,42,-1,0.35050659077905394,0.3722948629595014,RandomForestRegressor,0.0
0,66,squared_error,9,62,0.6992557324241973,True,0.45925456231854433,42,-1,0.35273986427341514,0.37465192911580614,RandomForestRegressor,0.0
0,61,squared_error,9,77,0.3543075629351826,True,0.6525021682400569,42,-1,0.352625420533018,0.37453144583207987,RandomForestRegressor,0.0
0,71,friedman_mse,7,67,0.461526249317796,True,0.2947376422172888,42,-1,0.35138399954449523,0.37322242581377013,RandomForestRegressor,0.0
0,80,poisson,13,73,0.36763816849528697,True,0.6433161025292633,42,-1,0.3539413287771523,0.37591490712823145,RandomForestRegressor,0.0
0,77,poisson,13,72,0.6702719558292987,True,0.6962006967883569,42,-1,0.3535348500095277,0.3754879989959619,RandomForestRegressor,0.0
0,65,squared_error,12,72,0.6947355474804037,True,0.6262334047056366,42,-1,0.3520194721094945,0.37389298359573025,RandomForestRegressor,0.0
0,77,friedman_mse,6,81,0.7142439261088496,True,0.46215291868830594,42,-1,0.353156035083872,0.37508979552874544,RandomForestRegressor,0.0
0,67,friedman_mse,11,69,0.6651417077053241,True,0.4943963982552583,42,-1,0.3516153647734547,0.3734666836539757,RandomForestRegressor,0.0
0,68,squared_error,6,76,0.3330379703471497,True,0.4583468893010039,42,-1,0.3534114599321409,0.3753583308528669,RandomForestRegressor,0.0
0,68,poisson,11,68,0.5206085084746233,True,0.20260662758436604,42,-1,0.3486792788304384,0.3703564128228147,RandomForestRegressor,0.0
0,50,friedman_mse,9,81,0.6342091115888522,True,0.5550138328924562,42,-1,0.3491060010942235,0.37080992435478316,RandomForestRegressor,0.0
0,55,friedman_mse,12,60,0.3477887668140142,True,0.6486862002209355,42,-1,0.311966962022712,0.3289859264612131,RandomForestRegressor,0.0
0,73,poisson,6,68,0.6511438600056871,True,0.7380776442971348,42,-1,0.33044539055956673,0.3495884108459654,RandomForestRegressor,0.0
0,55,squared_error,11,63,0.6271849359882593,True,0.484203251139692,42,-1,0.350875376017729,0.3726849743064513,RandomForestRegressor,0.0
0,57,squared_error,8,63,0.29750678947789405,True,0.47397435621936573,42,-1,0.35239151387925527,0.37428509566294177,RandomForestRegressor,0.0
0,62,friedman_mse,10,65,0.34062061599997706,True,0.775018952006405,42,-1,0.30506169328086363,0.3196039536431423,RandomForestRegressor,0.0
0,54,poisson,6,70,0.20733618591199843,True,0.6543642008193251,42,-1,0.3515128915029439,0.37335851703746203,RandomForestRegressor,0.0
0,61,squared_error,13,64,0.5905592336179049,True,0.6179248549398372,42,-1,0.35241717187995825,0.374312125191548,RandomForestRegressor,0.0
0,63,friedman_mse,12,66,0.35218981843187913,True,0.5129890567574102,42,-1,0.3549246138684335,0.37694604316652136,RandomForestRegressor,0.0
0,76,poisson,11,70,0.4187109978867203,True,0.5202042088484791,42,-1,0.35429469367143807,0.3762857211956331,RandomForestRegressor,0.0
0,64,squared_error,14,66,0.6230268310525546,True,0.35829710205643084,42,-1,0.3546022824318353,0.37660826674432074,RandomForestRegressor,0.0
0,78,friedman_mse,6,83,0.7387541189322759,True,0.678369621519173,42,-1,0.35434290618324366,0.37633629227756094,RandomForestRegressor,0.0
0,64,poisson,9,76,0.4436603513621821,True,0.5264582834362095,42,-1,0.35529156868155026,0.3773302999790704,RandomForestRegressor,0.0
0,57,squared_error,13,73,0.4718303421656612,True,0.7186338067473172,42,-1,0.35156244759646454,0.3734108297774871,RandomForestRegressor,0.0
0,69,friedman_mse,12,60,0.33289192889102115,True,0.22365502007717422,42,-1,0.34652431540377204,0.3680579000274321,RandomForestRegressor,0.0
0,69,squared_error,12,86,0.29835863154815506,True,0.29254345949299965,42,-1,0.3505641080270898,0.37235573004670447,RandomForestRegressor,0.0
0,66,poisson,11,63,0.5246850530224514,True,0.5992413745234557,42,-1,0.3512636581128349,0.3730953241819048,RandomForestRegressor,0.0
0,80,squared_error,15,87,0.7968683245269976,True,0.5149007004748982,42,-1,0.3549246138684335,0.3769460431665212,RandomForestRegressor,0.0
0,56,friedman_mse,13,68,0.21541641868327813,True,0.39318802552911847,42,-1,0.3534576326327554,0.3754068570145332,RandomForestRegressor,0.0
0,71,squared_error,13,80,0.7338542746385253,True,0.6883273665832277,42,-1,0.35385367508852394,0.3758228805516939,RandomForestRegressor,0.0
0,66,poisson,12,88,0.7435833378643528,True,0.6893766960232259,42,-1,0.35208884616160757,0.37396612622759967,RandomForestRegressor,0.0
0,60,squared_error,6,75,0.42562733507700123,True,0.7384485454221517,42,-1,0.3511572398050978,0.3729828966558661,RandomForestRegressor,0.0
0,57,poisson,13,74,0.5363083981716228,True,0.39503557087198193,42,-1,0.3537905702641725,0.37575661650251596,RandomForestRegressor,0.0
0,76,poisson,5,90,0.754197803337304,True,0.4720640085529874,42,-1,0.3532320425149873,0.3751697204820838,RandomForestRegressor,0.0
0,60,poisson,11,94,0.20729487219148468,True,0.3124740973749583,42,-1,0.34801253729274934,0.36964675573861344,RandomForestRegressor,0.0
0,75,friedman_mse,5,81,0.32591554988604515,True,0.6031051042135596,42,-1,0.3523337043836203,0.3742241900616494,RandomForestRegressor,0.0
0,80,friedman_mse,6,89,0.7512965122309962,True,0.6635931354762041,42,-1,0.35410072900050144,0.3760822140517607,RandomForestRegressor,0.0
